,Unnamed: 0,budget,popularity,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index,y_test
499,499,79000000.0,22.132418,91.0,4.1,604.0,36883,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8639614466554493,149673788.0
1552,1552,26000000.0,10.704596,102.0,6.5,166.0,31353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.233883879035198,116400000.0
480,480,44000000.0,7.89147,118.0,3.0,255.0,32681,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.010794245751329512,21400000.0
4421,4421,29584033.76797455,6.679954,95.0,5.7,117.0,37151,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0005932539048055288,83769672.29056203
3739,3739,4000000.0,35.892034,93.0,7.8,1010.0,24259,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3.1433079236523187,38251425.0
1063,1063,35000000.0,26.134678,122.0,6.6,741.0,33208,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2.0722292070262083,74558115.0
3229,3229,8250000.0,7.973109,171.0,7.0,63.0,14965,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.08876315891094863,30000000.0
600,600,66000000.0,29.501489000000007,116.0,6.1,695.0,36834,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.020366651575488927,57777106.0
389,389,75000000.0,36.605246,110.0,5.6,924.0,36811,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5844608954645052,132274484.0
3557,3557,5000000.0,14.752587,87.0,6.1,345.0,33575,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.014693243457067094,64282312.0
2287,2287,29584033.76797455,2.242809,113.0,6.0,40.0,36092,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0008455614760416273,83769672.29056203
3943,3943,3000000.0,1.569246,101.0,5.2,17.0,38485,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00562885838839889,83769672.29056203
2105,2105,20000000.0,95.9229,134.0,7.9,3674.0,37590,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.5761026108612106,187000000.0
1874,1874,25000000.0,29.533437,114.0,7.1,797.0,35432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1229244071750168,66122026.0
3637,3637,5000000.0,21.343093,112.0,6.6,355.0,37946,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1.1025790882298336,2450846.0
3264,3264,29584033.76797455,0.26966100000000004,110.0,3.9,5.0,30471,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.052891666969739466,8880705.0
1588,1588,30000000.0,29.489274,126.0,6.9,977.0,35426,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.18449305444851485,156835339.0
2203,2203,30000000.0,5.133744,101.0,6.4,81.0,33607,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.11412406145693395,27674124.0
1507,1507,32000000.0,14.48851,120.0,6.7,374.0,30009,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13.40816194482527,36733909.0
3456,3456,5000000.0,35.108498,92.0,5.9,858.0,33369,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.01726970284339398,38275483.0
623,623,69000000.0,11.023691,114.0,5.5,531.0,36414,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.009924937353611392,86387857.0
24,24,207000000.0,61.22601,187.0,6.6,2337.0,34725,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2926905138870937,550000000.0
3762,3762,29584033.76797455,18.428909,87.0,5.4,346.0,37771,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7507015606526151,83769672.29056203
3569,3569,5000000.0,19.984477,84.0,5.2,449.0,37665,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.8084517405513616,86362372.0
375,375,100000000.0,24.939295,131.0,6.9,963.0,32536,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3568082862102149,93700000.0
659,659,65000000.0,15.858629,120.0,6.5,314.0,31374,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.4424068555244106,89456761.0
2888,2888,12000000.0,5.327714,114.0,6.8,107.0,32803,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.15075647624557942,15250000.0
1595,1595,29584033.76797455,8.305085,118.0,7.2,144.0,34755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20288722036788254,42647449.0
3770,3770,29584033.76797455,4.348416,84.0,7.3,63.0,31120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0018688611744624726,83769672.29056203
4323,4323,1596010.0,0.552361,75.0,6.9,8.0,33340,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.011271512242660145,83769672.29056203
1505,1505,32000000.0,15.901137,107.0,5.3,313.0,36615,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6670863212872747,83615414.0
4209,4209,1600000.0,20.810292,113.0,7.5,372.0,23151,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.5241253192836967,4420000.0
913,913,70000000.0,43.849351,104.0,6.4,1813.0,35816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.647808333048667,225990978.0
1771,1771,28.0,9.670031,93.0,5.9,173.0,33257,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.2437464522475256,14.0
579,579,75000000.0,19.708731,138.0,6.7,521.0,33341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.38760195608261694,114660784.0
4500,4500,29584033.76797455,0.006069,103.0,6.104517497348888,701.7172852598093,35308,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.13047650679569606,83769672.29056203
3949,3949,3000000.0,20.952820000000006,87.0,5.3,444.0,37152,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.00026952586663880716,11947954.0
3860,3860,3400000.0,5.690619,94.0,6.5,84.0,24509,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0020802279373121897,31063038.0
2228,2228,20000000.0,2.6053740000000003,83.0,4.1,20.0,35749,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2573355755135291,7000000.0
4383,4383,1000000.0,0.436148,97.0,4.7,3.0,34743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016082452538282545,83769672.29056203
586,586,70000000.0,43.873266,118.0,5.8,1523.0,37688,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.1458141431964246,154984035.0
3693,3693,29584033.76797455,0.7063550000000001,103.0,5.9,18.0,35027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2412405005517401,83769672.29056203
3402,3402,7000000.0,5.33861,76.0,5.1,47.0,37218,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06622013442562834,12400000.0
4076,4076,2000000.0,22.139842,129.0,8.0,657.0,19030,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.005326662719743257,13129846.0
3435,3435,29584033.76797455,1.068819,113.0,7.0,6.0,32737,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.008453634181995108,83769672.29056203
2561,2561,15000000.0,34.759855,100.0,6.5,1197.0,35223,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.686500019308024,64238440.0
27,27,209000000.0,64.928382,131.0,5.5,2114.0,37035,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.774823728958058,303025485.0
3955,3955,3000000.0,0.431332,97.0,5.8,5.0,32479,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0536156000826123,83769672.29056203
1795,1795,26000000.0,10.981038,127.0,7.1,146.0,27263,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.09535349964560752,83769672.29056203
3692,3692,4600000.0,3.531877,97.0,5.7,60.0,35245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04748332974495415,83769672.29056203
