,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign,popularity_index
31,200000000.0,77.68208,1215439994.0,130.0,6.8,8806.0,37407,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.407117101108152
32,200000000.0,78.530105,1025491110.0,108.0,6.4,4645.0,36265,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.578738431621098
33,210000000.0,3.857526,459359555.0,104.0,6.3,3525.0,34886,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4826837023750845
34,200000000.0,89.186492,743559607.0,104.0,7.0,3528.0,37470,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.38026832802534005
35,150000000.0,21.939663,836297228.0,150.0,6.0,3138.0,36008,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8342805538976688
36,210000000.0,116.840296,1091405097.0,165.0,5.8,3095.0,37840,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.360666298879143
37,200000000.0,46.985445,491868548.0,130.0,5.7,3530.0,37365,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06030260370481574
38,200000000.0,89.270217,705717432.0,142.0,6.5,4179.0,37770,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031259060566098573
39,170000000.0,73.79505,400062763.0,125.0,6.3,2841.0,36547,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03818802857566703
40,200000000.0,49.98659,559852396.0,106.0,5.8,2033.0,36730,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.093063957370473
41,200000000.0,51.872839,219851172.0,114.0,5.1,2487.0,36735,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.42148455434412
42,200000000.0,59.99541800000001,1066969703.0,103.0,7.6,4597.0,36370,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6.476892722438585
43,200000000.0,71.862892,371353001.0,115.0,5.9,2463.0,35978,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.965521829645716
44,190000000.0,102.32221700000001,1506249360.0,137.0,7.3,4176.0,38120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.883729390668595
45,200000000.0,81.834855,531865000.0,116.0,6.7,5560.0,37470,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,9.578738431621098
46,250000000.0,118.07869099999999,747862775.0,131.0,7.5,6032.0,37799,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.498720230965748
47,190000000.0,78.29101800000001,467365246.0,132.0,7.4,4418.0,37424,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3478368670641377
48,195000000.0,43.349855,197687603.0,114.0,5.5,2598.0,37357,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.016125427988873
49,105000000.0,61.196070999999996,351040419.0,143.0,7.3,3769.0,37429,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6670899889435195
50,150000000.0,62.169881000000004,335154643.0,116.0,6.2,2317.0,36342,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.9103748403843526
51,180000000.0,56.523205000000004,407602906.0,131.0,6.7,4794.0,37491,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38026832802534005
52,195000000.0,28.529607000000002,1123746996.0,154.0,6.1,3299.0,36747,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03361351379781113
53,185000000.0,75.674458,786636033.0,122.0,5.7,2495.0,35614,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925297892576533
54,175000000.0,51.692953,331926147.0,93.0,6.6,1736.0,38347,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.445918156657251
55,185000000.0,125.114374,538983207.0,93.0,6.7,4641.0,37106,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6.538886039773216
56,185000000.0,65.352913,343471816.0,122.0,6.6,2568.0,38583,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.618155429893906
