,budget,popularity,revenue,runtime,vote_average,vote_count,Days,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Foreign
59,200000000,45.274225,769653595,158.0,5.6,4903,36121,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,200000000,39.744242,325233863,96.0,6.6,1095,36146,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
61,176000003,85.36908000000001,183987723,124.0,5.2,2768,38064,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,180000000,42.741719,356743061,109.0,5.5,2430,38575,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,180000000,67.391328,748806957,143.0,6.7,2629,34718,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,178000000,139.272042,543934787,144.0,6.4,4721,38533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,185000000,187.322927,1004558444,152.0,8.2,12002,35670,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
66,175000000,92.201962,735099082,96.0,7.7,6870,35971,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
67,175000000,36.167578000000006,381509870,94.0,6.0,1423,35916,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
68,140000000,120.725053,585174222,126.0,7.4,8776,35593,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,170000000,32.319043,185770160,126.0,7.0,2141,36894,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
70,170000000,40.748915000000004,222104681,106.0,5.1,1020,32365,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
71,145000000,60.034162,401128639,112.0,5.2,1387,35655,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,175000000,90.23791999999999,745000000,123.0,5.9,7458,38609,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,175000000,27.082182,173000000,96.0,5.3,1151,35267,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
74,178000000,79.456485,370541256,113.0,7.6,4858,37811,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,175000000,44.640291999999995,264218220,135.0,5.9,992,30933,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,175000000,32.852443,302469017,118.0,5.6,1962,36054,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,175000000,128.65596399999998,857611174,94.0,8.0,6560,38189,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
78,175000000,94.19931600000001,966550600,106.0,6.7,2892,38492,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
79,200000000,77.30019399999999,623933331,124.0,6.6,6849,36321,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,170000000,77.178973,396600000,127.0,5.8,3118,37084,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,180000000,110.62064699999999,758539785,97.0,7.0,4496,37812,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
82,170000000,243.79174300000003,710644566,130.0,7.3,4410,37841,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
83,27000000,2.418535,0,109.0,4.8,34,38073,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,175000000,41.796339,150962475,119.0,5.9,1326,37639,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,170000000,72.22526500000001,714766572,136.0,7.6,5764,37743,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,165000000,44.041185999999996,752600867,93.0,6.0,1959,36339,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
87,190000000,130.311355,209154322,130.0,6.2,2846,38168,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
