,budget,popularity,runtime,vote_average,vote_count,Fantasy,Science Fiction,Action,Adventure,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Mystery,Horror,War,History,Music,Documentary,Foreign,TV Movie,Days
3976,29045039.87528628,5.485217,80.0,4.9,54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38374
3977,29045039.87528628,0.18887,105.0,6.8,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,34594
3978,3000000.0,3.0778849999999998,90.0,4.1,52,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,38255
3979,3000000.0,1.7814619999999999,93.0,6.6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36477
3980,29045039.87528628,4.952983000000001,91.0,6.6,271,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,33815
3981,2902660.0,1.3508799999999999,93.0,6.1,34,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,36799
3982,29045039.87528628,0.687656,89.0,4.3,12,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,38318
3983,8000000.0,6.39503,116.0,6.9,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34580
3984,2883848.0,39.30982,122.0,8.0,808,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17652
3985,2800000.0,9.070841999999999,88.0,5.3,192,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28301
3986,2777000.0,67.417542,102.0,7.4,1642,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10497
3987,2800000.0,36.444894,106.0,7.7,854,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23403
3988,2000000.0,15.351412,95.0,5.4,190,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35358
3989,29045039.87528628,2.436019,144.0,7.6,44,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,34743
3990,29045039.87528628,0.9339200000000001,112.0,6.5,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31619
3991,2700000.0,11.35972,118.0,7.0,59,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25170
3992,29045039.87528628,0.296981,0.0,9.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38206
3993,29045039.87528628,1.7766240000000002,90.0,4.9,10,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,35742
3994,2686000.0,1.8972630000000001,109.0,6.0,30,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19199
3995,29045039.87528628,0.144031,103.0,7.0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31170
3996,2627000.0,0.5314439999999999,120.0,6.0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12157
3997,2600000.0,22.793929000000002,93.0,7.2,609,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,23092
3998,2600000.0,14.013414000000001,91.0,5.9,237,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,26810
3999,2159280.0,13.265432,80.0,7.1,260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37597
4000,29045039.87528628,11.552247,134.0,7.1,61,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28063
4001,29045039.87528628,1.73892,86.0,5.3,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35000
4002,2600000.0,0.8959459999999999,105.0,7.6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34202
4003,2600000.0,19.02965,92.0,7.0,308,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35370
4004,29045039.87528628,0.406645,99.0,7.4,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,35858
4005,2600000.0,3.6875739999999997,97.0,5.2,38,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35448
4006,2540800.0,36.556954,103.0,7.8,727,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,15119
4007,29045039.87528628,0.545825,97.0,7.1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36309
4008,2500000.0,18.661541,86.0,5.4,516,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,37310
4009,2500000.0,0.973582,87.0,4.6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37128
4010,29045039.87528628,14.885388,108.0,6.8,225,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31367
4011,2500000.0,12.030456,98.0,5.0,229,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26271
4012,2500000.0,18.30961,98.0,6.3,264,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22098
4013,2500000.0,6.82919,112.0,7.5,66,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19185
4014,29045039.87528628,9.799357,74.0,7.1,95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,37483
4015,2500000.0,10.363642,104.0,7.1,212,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29553
4016,2500000.0,30.583959000000004,102.0,7.1,618,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,34221
4017,2500000.0,23.672570999999998,105.0,7.7,959,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30751
4018,29045039.87528628,0.20503400000000002,100.0,6.9,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,33922
4019,29045039.87528628,5.581743,107.0,6.7,22,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,32433
4020,29045039.87528628,2.4872549999999998,91.0,6.8,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,34267
4021,29045039.87528628,0.262135,102.0,5.2,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35427
4022,2500000.0,23.419061,85.0,6.8,450,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37162
4023,29045039.87528628,7.958831,106.0,7.2,77,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33712
4024,2500000.0,25.722747000000002,95.0,6.8,1048,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,37513
4025,29045039.87528628,9.774125999999999,101.0,7.2,197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,35747
4026,29045039.87528628,0.197469,90.0,7.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35791
4027,29045039.87528628,0.142255,100.0,7.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34856
4028,2500000.0,0.30188400000000004,100.0,7.1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35343
